##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4685.2259	0.9278	0.8000	0.8000	0.5637	0.8792	207.1872
4686.1294	0.9278	0.8000	0.8000	0.5642	0.8793	207.3743
4687.0330	0.9278	0.8000	0.8000	0.5646	0.8795	207.5616
4687.9365	0.9278	0.8000	0.8000	0.5650	0.8797	207.7519
4688.8400	0.9278	0.8000	0.8000	0.5654	0.8799	207.9422
4689.7436	0.9278	0.8000	0.8000	0.5658	0.8801	208.1300
4690.6471	0.9278	0.8000	0.8000	0.5662	0.8802	208.3174
4691.5507	0.9278	0.8000	0.8000	0.5666	0.8804	208.5049
4692.4542	0.9278	0.8000	0.8000	0.5670	0.8806	208.6923
4693.3578	0.9277	0.8000	0.8000	0.5674	0.8808	208.8811
4694.2613	0.9277	0.8000	0.8000	0.5678	0.8810	209.0717
4695.1648	0.9277	0.8000	0.8000	0.5683	0.8811	209.2619
4696.0684	0.9277	0.8000	0.8000	0.5687	0.8813	209.4496
4696.9719	0.9277	0.8000	0.8000	0.5691	0.8815	209.6373
4697.8755	0.9277	0.8000	0.8000	0.5695	0.8817	209.8251
4698.7790	0.9277	0.8000	0.8000	0.5699	0.8819	210.0129
4699.6825	0.9277	0.8000	0.8000	0.5703	0.8821	210.2032
4700.5861	0.9277	0.8000	0.8000	0.5707	0.8822	210.3942
4701.4896	0.9277	0.8000	0.8000	0.5711	0.8824	210.5836
4702.3932	0.9277	0.8000	0.8000	0.5715	0.8826	210.7716
4703.2967	0.9277	0.8000	0.8000	0.5719	0.8828	210.9598
4704.2002	0.9277	0.8000	0.8000	0.5725	0.8830	211.1874
4705.1038	0.9276	0.8000	0.8000	0.5730	0.8831	211.4360
4706.0073	0.9276	0.8000	0.8000	0.5736	0.8833	211.6847
4706.9109	0.9276	0.8000	0.8000	0.5742	0.8835	211.9334
4707.8144	0.9276	0.8000	0.8000	0.5747	0.8837	212.1822
4708.7179	0.9276	0.8000	0.8000	0.5753	0.8839	212.4311
4709.6215	0.9276	0.8000	0.8000	0.5759	0.8840	212.6821
4710.5250	0.9276	0.8000	0.8000	0.5765	0.8842	212.9343
4711.4286	0.9276	0.8000	0.8000	0.5770	0.8844	213.1850
4712.3321	0.9276	0.8000	0.8000	0.5776	0.8846	213.4341
4713.2357	0.9276	0.8000	0.8000	0.5782	0.8848	213.6834
4714.1392	0.9276	0.8000	0.8000	0.5788	0.8849	213.9327
4715.0427	0.9276	0.8000	0.8000	0.5793	0.8851	214.1821
4715.9463	0.9276	0.8000	0.8000	0.5799	0.8853	214.4315
4716.8498	0.9275	0.8000	0.8000	0.5805	0.8855	214.6810
4717.7534	0.9275	0.8000	0.8000	0.5811	0.8857	214.9306
4718.6569	0.9275	0.8000	0.8000	0.5816	0.8858	215.1803
4719.5604	0.9272	0.8000	0.8000	0.5822	0.8860	215.1881
4720.4640	0.9266	0.8000	0.8000	0.5828	0.8862	215.0476
4721.3675	0.9260	0.8000	0.8000	0.5833	0.8864	214.9067
4722.2711	0.9255	0.8000	0.8000	0.5839	0.8866	214.7654
4723.1746	0.9249	0.8000	0.8000	0.5845	0.8868	214.6238
4724.0781	0.9243	0.8000	0.8000	0.5851	0.8869	214.4817
4724.9817	0.9238	0.8000	0.8000	0.5856	0.8871	214.3394
4725.8852	0.9232	0.8000	0.8000	0.5862	0.8873	214.1966
4726.7888	0.9226	0.8000	0.8000	0.5868	0.8875	214.0535
4727.6923	0.9220	0.8000	0.8000	0.5874	0.8877	213.9101
4728.5958	0.9215	0.8000	0.8000	0.5879	0.8878	213.7663
4729.4994	0.9209	0.8000	0.8000	0.5885	0.8880	213.6221
4730.4029	0.9203	0.8000	0.8000	0.5891	0.8882	213.4775
4731.3065	0.9198	0.8000	0.8000	0.5896	0.8884	213.3326
4732.2100	0.9192	0.8000	0.8000	0.5902	0.8886	213.1874
4733.1136	0.9186	0.8000	0.8000	0.5908	0.8887	213.0418
4734.0171	0.9181	0.8000	0.8000	0.5914	0.8889	212.8958
4734.9206	0.9175	0.8000	0.8000	0.5919	0.8891	212.7495
4735.8242	0.9169	0.8000	0.8000	0.5925	0.8893	212.6028
4736.7277	0.9164	0.8000	0.8000	0.5931	0.8895	212.4558
4737.6313	0.9158	0.8000	0.8000	0.5937	0.8896	212.3084
4738.5348	0.9152	0.8000	0.8000	0.5942	0.8898	212.1607
