###############################################################
#Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , Throughput, EffectiveArea [cm2]
# Pixel scale: 0.417684
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on CUTE
# CCD QE based on datasheet and CUTE
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1
                *R_uvgr * Uv_geff *R_fold2 * Uv_detQE
# Generated on: 2026-02-19
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	GratingEff	CCD_QE	Throughput	EffectiveArea_cm2
2528.1529	0.9259	0.8000	0.6326	0.6213	0.1818	174.9459
2528.5706	0.9259	0.8000	0.6324	0.6214	0.1818	174.9583
2528.9883	0.9259	0.8000	0.6323	0.6216	0.1819	174.9706
2529.4060	0.9259	0.8000	0.6322	0.6218	0.1819	174.9830
2529.8236	0.9259	0.8000	0.6321	0.6219	0.1819	174.9953
2530.2413	0.9259	0.8000	0.6319	0.6221	0.1819	175.0076
2530.6590	0.9259	0.8000	0.6318	0.6223	0.1819	175.0199
2531.0767	0.9259	0.8000	0.6317	0.6224	0.1819	175.0301
2531.4944	0.9259	0.8000	0.6315	0.6226	0.1819	175.0307
2531.9121	0.9259	0.8000	0.6313	0.6228	0.1819	175.0314
2532.3298	0.9259	0.8000	0.6312	0.6229	0.1819	175.0411
2532.7474	0.9259	0.8000	0.6311	0.6231	0.1819	175.0533
2533.1651	0.9259	0.8000	0.6310	0.6233	0.1820	175.0655
2533.5828	0.9259	0.8000	0.6308	0.6234	0.1820	175.0777
2534.0005	0.9259	0.8000	0.6307	0.6236	0.1820	175.0898
2534.4182	0.9259	0.8000	0.6305	0.6238	0.1820	175.0903
2534.8359	0.9259	0.8000	0.6304	0.6239	0.1820	175.0908
2535.2535	0.9259	0.8000	0.6302	0.6241	0.1820	175.0983
2535.6712	0.9259	0.8000	0.6301	0.6243	0.1820	175.1103
2536.0889	0.9259	0.8000	0.6300	0.6244	0.1820	175.1224
2536.5066	0.9259	0.8000	0.6298	0.6246	0.1820	175.1344
2536.9243	0.9259	0.8000	0.6297	0.6248	0.1820	175.1464
2537.3420	0.9259	0.8000	0.6296	0.6249	0.1820	175.1505
2537.7596	0.9259	0.8000	0.6294	0.6251	0.1821	175.1528
2538.1773	0.9259	0.8000	0.6292	0.6253	0.1821	175.1600
2538.5950	0.9259	0.8000	0.6291	0.6254	0.1821	175.1739
2539.0127	0.9259	0.8000	0.6290	0.6256	0.1821	175.1873
2539.4304	0.9259	0.8000	0.6288	0.6258	0.1821	175.1876
2539.8481	0.9259	0.8000	0.6287	0.6259	0.1821	175.1878
